command;hit level;damage;startup frame;Block frame;hit frame;counter hit frame;notes
in rage d+1+2;m;55;20;-22;KND;KND;
in rage f, f+2+3;m;30;13;+27;tail spin;tail spin;
;;;;;;;
1;h;7;10;+1;+8;+8;
1, 1;h, m;7, 17;;-11;+5;CS;
1, 2;h, h;7, 8;;-2;+5;+5;
1, 2, 2;h (to CFS2 on hit);7, 8, 10;;-10;+8;+8;
1, 2, 3;h, h, h (TJ);7, 8, 20;;-6;KND;KND;Tail spin
1, 2, 4;h, h, l;7, 8, 15;;-13;+3;KND;
1, 2, 4, 4;h, h, l, h;7, 8, 17, 20;;+6s;JG;JG;Tail spin
1, 4;h, h;7, 17;;-8;+1;+1;
2;h;10;10;0;+6;+6;
2, 4;h, m;10, 13;;-8;+8;+8;
3;h;10;17;-7;+9;+9;
3, 2;h, h;10, 14;;+2;CS;CS;
4;h;17;13;-8;+1;+1;
4, 2;h, h;11;;--2;+7;+7;JG when first hit is counter hit
4, 3;h, m (TJ);17, 23;;-10;+8k;+8k;Tail spin
1+2;m;20;31;-9;KND;KND;
1+2*;m;30;65;+17g;CS;CS;
f+2;h;10;12;-5;+6;+6;
f+2, 4;h, h;10, 23;;-13;KND;KND;
f+3;m (TJ);17;17~19;-9;KND;KND;
f+4;m;17;17;-4;+1;+1;
f+4, 3;m, m (TJ);17, 15;;-10;0;0;
f+4, 3, 1;m, m (TJ), m;17, 15, 28;;-12;KND;KND;
f+4, 3, 4;m, m (TJ), h (TJ);17, 15, 23;;-2;KND;Tail spin;Tail spin
f+1+2;hm;4,5;14;-8;+3;+3;
f+1+2, 3;hm, m;4,5, 5;;-10;+1;+1;
f+1+2, 3, 2;hm, m, m;4,5, 5, 4;;-10;+1;;
f+1+2, 3, 2, 1;hm, m, m, m;4,5, 5, 4, 23;;-14;KND;KND;
d/f+1;m;13;13;-5;+2;+2;
d/f+1, 2;m, h;13, 10;;-3;+8;+8;
d/f+1, 3;m, m;13, 20;;-13;KND;CS;
d/f+2;m (to cfs2 on hit);17;15;-6;+12;KND;
d/f+3;m;15;14~15;-8;+5;+5;
d/f+3, 4;m, m;15, 20;;-12;KND;KND;
d/f+3~1;h;13;32~33;-3;+5;+5;
d/f+3~1, 2;h, h;13, 20;;+7;KND;KND;
d/f+4;m;16;15;-4;+4;+6;
d/f+4, 2;h, h;16, 25;;+1;KND;KND;
d/f+4, 3;h, m (TJ);16, 23;;-10;+8k;+8k;Tail spin
d/f+4~4;h;27;24~24;+6s;JG;JG;Tail spin
d/f+1+2;m (absorbs right punch);24;23 (parry 2~17);-2;+7;+7;
d/f+1+2, (on parry) 2;m, h;24, 29;;;KND;KND;
d/f+3+4;m;25;22~23 pc8~;-12;+9k;+9k;Power crush, tail spin
d+1;m;20;19~20;+2;+8;+8;
d+3;l;9;15;-14;-3;-3;
d+3, 1;l, h;9, 8;;+4;+9;+9;
d+3, 4;l, h;9, 21;;-3;+6;+6;Homing, tail spin
d+3, 4, 4;l, h, l (TC);9, 21, 13;;-26;KND;KND;
d+3, 4, 4, 4;l, h, l (TC), m (TJ);9, 21, 13, 25;;-14;KND;KND;
d/b+2;l (TC);17;18~19 cs6~;-14;-1;+12g;
d/b+3 (far);l;13;16;-26;-2;-2;
d/b+3 (clean);l;13 (19);;-26;+3;+3;
d/b+4;l;17;22;-13;+1;KND;
